""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"ENST00000219400"	3.47996094090789	-1.41182965406239	0.342395747569615	-4.12338548035074	3.73344117915918e-05	0.0246243049878339
"ENST00000229633"	47.3646489824248	-2.53027881580785	0.482755315850484	-5.24132771350262	1.59425287014917e-07	0.00045739991354918
"ENST00000233336"	2.6087821882326	-2.07849050838953	0.460984974571547	-4.50880315637476	6.51943616339721e-06	0.00857839574064615
"ENST00000251038"	2.74251802420646	-2.36777131255294	0.501615142940014	-4.7202947237103	2.35503167448611e-06	0.00423226898160148
"ENST00000260908"	3.20024555055315	-1.58768089167779	0.434510339407408	-3.6539542277477	0.000258232322859788	0.0813325329452514
"ENST00000286063"	1.83694550171241	-2.0145229882391	0.526714133528118	-3.82469894009699	0.000130931984547753	0.0570745006089769
"ENST00000291439"	1.29729490535604	-1.57788091640974	0.433399975994274	-3.6407037466716	0.000271893846895537	0.0830662891650555
"ENST00000296452"	1.8144827679813	-2.18313660542971	0.598095108800539	-3.65014957204368	0.000262087647938144	0.081704487062839
"ENST00000298875"	2.00546250616453	-1.64295673451635	0.446196289510546	-3.68213894454073	0.000231285292394965	0.0771708993577448
"ENST00000301215"	1.19361512549411	-1.74663475937003	0.464958041201017	-3.75654275138109	0.000172276852506899	0.0628755135079102
"ENST00000303924"	4.17781648173126	-1.93057945480435	0.505821528062881	-3.81672061724576	0.000135237154454972	0.0573837542465815
"ENST00000327134"	1.18852539184045	-2.10463884006474	0.479489845296121	-4.38932932722478	1.13700772724372e-05	0.0113483867326243
"ENST00000332029"	5.2674820746722	-2.18139395402287	0.555956377380709	-3.92367826465113	8.72071820072046e-05	0.0429720422177759
"ENST00000344519"	3.91470466118309	-1.39891312550331	0.333751179180018	-4.1914851924726	2.77134278605133e-05	0.0211668233641636
"ENST00000358763"	2.85871952967914	-2.16588151967199	0.540522907304002	-4.00701152606998	6.14918633508466e-05	0.0341570530405767
"ENST00000360128"	0.901725800878291	-1.97069765306686	0.550779180709871	-3.5780176921846	0.000346210021750386	0.0944380569151432
"ENST00000360835"	1.54139315958363	-1.37927434654511	0.367715642256895	-3.75092649874687	0.000176182345271176	0.0633240803574083
"ENST00000361335"	162.844757045313	-1.31692772704332	0.323775456403435	-4.06741061126752	4.75384348102253e-05	0.0287149067607478
"ENST00000361381"	649.942939629164	-1.15237405777653	0.3186701748628	-3.61619677232948	0.000298963152211218	0.0872845480728426
"ENST00000361479"	2.08160304347847	-1.56631306209042	0.442358560365941	-3.54082231571305	0.000398882103899436	0.0999149449471823
"ENST00000361558"	12.8796090482077	-2.80765660319699	0.500186160961546	-5.61322328030752	1.98592075798776e-08	0.000101119775128807
