""	"x"
"1"	"ENST00000219400"
"2"	"ENST00000229633"
"3"	"ENST00000233336"
"4"	"ENST00000251038"
"5"	"ENST00000260908"
"6"	"ENST00000286063"
"7"	"ENST00000291439"
"8"	"ENST00000296452"
"9"	"ENST00000298875"
"10"	"ENST00000301215"
"11"	"ENST00000303924"
"12"	"ENST00000327134"
"13"	"ENST00000332029"
"14"	"ENST00000344519"
"15"	"ENST00000358763"
"16"	"ENST00000360128"
"17"	"ENST00000360835"
"18"	"ENST00000361335"
"19"	"ENST00000361381"
"20"	"ENST00000361479"
"21"	"ENST00000361558"
"22"	"ENST00000361567"
"23"	"ENST00000361624"
"24"	"ENST00000361789"
"25"	"ENST00000361899"
"26"	"ENST00000362079"
"27"	"ENST00000362482"
"28"	"ENST00000362545"
"29"	"ENST00000363688"
"30"	"ENST00000364228"
"31"	"ENST00000364315"
"32"	"ENST00000364451"
"33"	"ENST00000364952"
"34"	"ENST00000365668"
"35"	"ENST00000366847"
"36"	"ENST00000368756"
"37"	"ENST00000379010"
"38"	"ENST00000387347"
"39"	"ENST00000391860"
"40"	"ENST00000392097"
"41"	"ENST00000393067"
"42"	"ENST00000394480"
"43"	"ENST00000398004"
"44"	"ENST00000408749"
"45"	"ENST00000412203"
"46"	"ENST00000425562"
"47"	"ENST00000425673"
"48"	"ENST00000428647"
"49"	"ENST00000429684"
"50"	"ENST00000429989"
"51"	"ENST00000436665"
"52"	"ENST00000436788"
"53"	"ENST00000447166"
"54"	"ENST00000448901"
"55"	"ENST00000456464"
"56"	"ENST00000458420"
"57"	"ENST00000472357"
"58"	"ENST00000472694"
"59"	"ENST00000477648"
"60"	"ENST00000479944"
"61"	"ENST00000500487"
"62"	"ENST00000510505"
"63"	"ENST00000513886"
"64"	"ENST00000514057"
"65"	"ENST00000515341"
"66"	"ENST00000521647"
"67"	"ENST00000523752"
"68"	"ENST00000536621"
"69"	"ENST00000536684"
"70"	"ENST00000543500"
"71"	"ENST00000548445"
"72"	"ENST00000555162"
"73"	"ENST00000564116"
"74"	"ENST00000576204"
"75"	"ENST00000576266"
"76"	"ENST00000580533"
"77"	"ENST00000591258"
"78"	"ENST00000592918"
"79"	"ENST00000600213"
"80"	"ENST00000604604"
"81"	"ENST00000609212"
"82"	"ENST00000611864"
"83"	"ENST00000612463"
"84"	"ENST00000618966"
"85"	"ENST00000621650"
"86"	"ENST00000622156"
"87"	"ENST00000623664"
"88"	"ENST00000624346"
"89"	"ENST00000624945"
"90"	"ENST00000630918"
"91"	"ENST00000631211"
"92"	"ENST00000638356"
"93"	"ENST00000640084"
"94"	"ENST00000642217"
"95"	"ENST00000647020"
"96"	"ENST00000647800"
"97"	"ENST00000650098"
"98"	"ENST00000651312"
"99"	"ENST00000651830"
"100"	"ENST00000652328"
"101"	"ENST00000655630"
"102"	"ENST00000657488"
"103"	"ENST00000658265"
"104"	"ENST00000661977"
"105"	"ENST00000666491"
"106"	"ENST00000670000"
"107"	"ENST00000671128"
"108"	"ENST00000672442"
"109"	"ENST00000675460"
"110"	"ENST00000681122"
"111"	"ENST00000688096"
"112"	"ENST00000688904"
"113"	"ENST00000690268"
"114"	"ENST00000690366"
"115"	"ENST00000691049"
