""	"x"
"1"	"ENST00000011989"
"2"	"ENST00000024061"
"3"	"ENST00000040738"
"4"	"ENST00000075120"
"5"	"ENST00000160262"
"6"	"ENST00000200639"
"7"	"ENST00000200652"
"8"	"ENST00000202677"
"9"	"ENST00000216133"
"10"	"ENST00000220597"
"11"	"ENST00000222329"
"12"	"ENST00000222823"
"13"	"ENST00000224140"
"14"	"ENST00000225276"
"15"	"ENST00000225538"
"16"	"ENST00000227163"
"17"	"ENST00000227471"
"18"	"ENST00000229633"
"19"	"ENST00000231461"
"20"	"ENST00000232375"
"21"	"ENST00000232564"
"22"	"ENST00000234310"
"23"	"ENST00000237858"
"24"	"ENST00000240364"
"25"	"ENST00000241261"
"26"	"ENST00000242310"
"27"	"ENST00000242351"
"28"	"ENST00000243346"
"29"	"ENST00000244709"
"30"	"ENST00000244763"
"31"	"ENST00000245414"
"32"	"ENST00000245621"
"33"	"ENST00000246024"
"34"	"ENST00000246186"
"35"	"ENST00000248598"
"36"	"ENST00000248668"
"37"	"ENST00000249071"
"38"	"ENST00000251810"
"39"	"ENST00000252244"
"40"	"ENST00000254190"
"41"	"ENST00000255409"
"42"	"ENST00000256257"
"43"	"ENST00000260810"
"44"	"ENST00000261024"
"45"	"ENST00000261211"
"46"	"ENST00000261623"
"47"	"ENST00000261837"
"48"	"ENST00000262605"
"49"	"ENST00000262715"
"50"	"ENST00000263955"
"51"	"ENST00000264192"
"52"	"ENST00000264824"
"53"	"ENST00000267068"
"54"	"ENST00000267615"
"55"	"ENST00000268389"
"56"	"ENST00000269280"
"57"	"ENST00000269389"
"58"	"ENST00000272091"
"59"	"ENST00000276431"
"60"	"ENST00000278612"
"61"	"ENST00000279907"
"62"	"ENST00000285419"
"63"	"ENST00000289382"
"64"	"ENST00000291107"
"65"	"ENST00000291281"
"66"	"ENST00000293328"
"67"	"ENST00000293379"
"68"	"ENST00000294066"
"69"	"ENST00000294507"
"70"	"ENST00000295317"
"71"	"ENST00000295324"
"72"	"ENST00000295683"
"73"	"ENST00000296140"
"74"	"ENST00000297423"
"75"	"ENST00000297814"
"76"	"ENST00000298125"
"77"	"ENST00000299138"
"78"	"ENST00000300896"
"79"	"ENST00000301335"
"80"	"ENST00000302014"
"81"	"ENST00000302017"
"82"	"ENST00000304385"
"83"	"ENST00000304434"
"84"	"ENST00000304658"
"85"	"ENST00000304748"
"86"	"ENST00000305392"
"87"	"ENST00000308807"
"88"	"ENST00000309100"
"89"	"ENST00000309137"
"90"	"ENST00000309951"
"91"	"ENST00000310015"
"92"	"ENST00000310128"
"93"	"ENST00000310954"
"94"	"ENST00000310958"
"95"	"ENST00000311124"
"96"	"ENST00000312033"
"97"	"ENST00000312584"
"98"	"ENST00000313486"
"99"	"ENST00000314412"
"100"	"ENST00000314830"
"101"	"ENST00000314888"
"102"	"ENST00000315544"
"103"	"ENST00000315576"
"104"	"ENST00000316881"
"105"	"ENST00000317216"
"106"	"ENST00000318238"
"107"	"ENST00000323076"
"108"	"ENST00000324607"
"109"	"ENST00000325602"
"110"	"ENST00000325722"
"111"	"ENST00000328737"
"112"	"ENST00000328880"
"113"	"ENST00000329021"
"114"	"ENST00000329410"
"115"	"ENST00000330048"
"116"	"ENST00000330927"
"117"	"ENST00000330943"
"118"	"ENST00000331173"
"119"	"ENST00000331426"
"120"	"ENST00000332499"
"121"	"ENST00000333486"
"122"	"ENST00000334062"
"123"	"ENST00000335766"
"124"	"ENST00000336023"
"125"	"ENST00000336735"
"126"	"ENST00000338087"
"127"	"ENST00000339021"
"128"	"ENST00000339430"
"129"	"ENST00000341285"
"130"	"ENST00000342016"
"131"	"ENST00000342348"
"132"	"ENST00000343010"
"133"	"ENST00000344908"
"134"	"ENST00000351698"
"135"	"ENST00000354258"
"136"	"ENST00000354958"
"137"	"ENST00000355312"
"138"	"ENST00000355837"
"139"	"ENST00000357081"
"140"	"ENST00000357260"
"141"	"ENST00000357387"
"142"	"ENST00000357618"
"143"	"ENST00000358165"
"144"	"ENST00000358290"
"145"	"ENST00000358951"
"146"	"ENST00000359161"
"147"	"ENST00000359676"
"148"	"ENST00000359890"
"149"	"ENST00000360222"
"150"	"ENST00000360844"
"151"	"ENST00000361050"
"152"	"ENST00000361157"
"153"	"ENST00000361871"
"154"	"ENST00000362482"
"155"	"ENST00000362545"
"156"	"ENST00000363688"
"157"	"ENST00000364952"
"158"	"ENST00000366159"
"159"	"ENST00000366292"
"160"	"ENST00000366784"
"161"	"ENST00000366835"
"162"	"ENST00000366997"
"163"	"ENST00000367088"
"164"	"ENST00000367478"
"165"	"ENST00000367511"
"166"	"ENST00000367559"
"167"	"ENST00000368097"
"168"	"ENST00000368311"
"169"	"ENST00000368463"
"170"	"ENST00000368468"
"171"	"ENST00000368476"
"172"	"ENST00000369041"
"173"	"ENST00000369159"
"174"	"ENST00000369167"
"175"	"ENST00000369516"
"176"	"ENST00000369763"
"177"	"ENST00000369878"
"178"	"ENST00000370192"
"179"	"ENST00000370630"
"180"	"ENST00000370992"
"181"	"ENST00000371019"
"182"	"ENST00000371940"
"183"	"ENST00000371941"
"184"	"ENST00000372236"
"185"	"ENST00000373418"
"186"	"ENST00000374075"
"187"	"ENST00000374736"
"188"	"ENST00000374897"
"189"	"ENST00000375050"
"190"	"ENST00000375107"
"191"	"ENST00000376237"
"192"	"ENST00000376389"
"193"	"ENST00000377386"
"194"	"ENST00000377447"
"195"	"ENST00000377767"
"196"	"ENST00000378060"
"197"	"ENST00000378182"
"198"	"ENST00000378198"
"199"	"ENST00000378561"
"200"	"ENST00000379303"
"201"	"ENST00000379433"
"202"	"ENST00000379449"
"203"	"ENST00000379655"
"204"	"ENST00000379698"
"205"	"ENST00000379997"
"206"	"ENST00000381007"
