""	"x"
"1"	"ENST00000005386"
"2"	"ENST00000009530"
"3"	"ENST00000011989"
"4"	"ENST00000024061"
"5"	"ENST00000040738"
"6"	"ENST00000046794"
"7"	"ENST00000056233"
"8"	"ENST00000060969"
"9"	"ENST00000066544"
"10"	"ENST00000075120"
"11"	"ENST00000160262"
"12"	"ENST00000193322"
"13"	"ENST00000200639"
"14"	"ENST00000200652"
"15"	"ENST00000202677"
"16"	"ENST00000203556"
"17"	"ENST00000215781"
"18"	"ENST00000216014"
"19"	"ENST00000216124"
"20"	"ENST00000216133"
"21"	"ENST00000216264"
"22"	"ENST00000216468"
"23"	"ENST00000218176"
"24"	"ENST00000218981"
"25"	"ENST00000219596"
"26"	"ENST00000220597"
"27"	"ENST00000221130"
"28"	"ENST00000221132"
"29"	"ENST00000221264"
"30"	"ENST00000221954"
"31"	"ENST00000222120"
"32"	"ENST00000222219"
"33"	"ENST00000222224"
"34"	"ENST00000222329"
"35"	"ENST00000222374"
"36"	"ENST00000224140"
"37"	"ENST00000225275"
"38"	"ENST00000225276"
"39"	"ENST00000225538"
"40"	"ENST00000225665"
"41"	"ENST00000225726"
"42"	"ENST00000225941"
"43"	"ENST00000225972"
"44"	"ENST00000227163"
"45"	"ENST00000227471"
"46"	"ENST00000228438"
"47"	"ENST00000228463"
"48"	"ENST00000228741"
"49"	"ENST00000230122"
"50"	"ENST00000231461"
"51"	"ENST00000231498"
"52"	"ENST00000231512"
"53"	"ENST00000232014"
"54"	"ENST00000232375"
"55"	"ENST00000232496"
"56"	"ENST00000232564"
"57"	"ENST00000232978"
"58"	"ENST00000233607"
"59"	"ENST00000234310"
"60"	"ENST00000237841"
"61"	"ENST00000237858"
"62"	"ENST00000238789"
"63"	"ENST00000239938"
"64"	"ENST00000240364"
"65"	"ENST00000240587"
"66"	"ENST00000241261"
"67"	"ENST00000242310"
"68"	"ENST00000242351"
"69"	"ENST00000243346"
"70"	"ENST00000243644"
"71"	"ENST00000244336"
"72"	"ENST00000244709"
"73"	"ENST00000244763"
"74"	"ENST00000245414"
"75"	"ENST00000245620"
"76"	"ENST00000245621"
"77"	"ENST00000246006"
"78"	"ENST00000246024"
"79"	"ENST00000246115"
"80"	"ENST00000246186"
"81"	"ENST00000248598"
"82"	"ENST00000248668"
"83"	"ENST00000249071"
"84"	"ENST00000249363"
"85"	"ENST00000251810"
"86"	"ENST00000252137"
"87"	"ENST00000254190"
"88"	"ENST00000254436"
"89"	"ENST00000254605"
"90"	"ENST00000255409"
"91"	"ENST00000255416"
"92"	"ENST00000256015"
"93"	"ENST00000256079"
"94"	"ENST00000256257"
"95"	"ENST00000256682"
"96"	"ENST00000256897"
"97"	"ENST00000257245"
"98"	"ENST00000257264"
"99"	"ENST00000257527"
"100"	"ENST00000257549"
"101"	"ENST00000257897"
"102"	"ENST00000258201"
"103"	"ENST00000258301"
"104"	"ENST00000258382"
"105"	"ENST00000258436"
"106"	"ENST00000258874"
"107"	"ENST00000258962"
"108"	"ENST00000259006"
"109"	"ENST00000260746"
"110"	"ENST00000260810"
"111"	"ENST00000261024"
"112"	"ENST00000261211"
"113"	"ENST00000261304"
"114"	"ENST00000261407"
"115"	"ENST00000261623"
"116"	"ENST00000261745"
"117"	"ENST00000262013"
"118"	"ENST00000262059"
"119"	"ENST00000262160"
"120"	"ENST00000262244"
"121"	"ENST00000262428"
"122"	"ENST00000262467"
"123"	"ENST00000262605"
"124"	"ENST00000262715"
"125"	"ENST00000263245"
"126"	"ENST00000263341"
"127"	"ENST00000263579"
"128"	"ENST00000263636"
"129"	"ENST00000263694"
"130"	"ENST00000263857"
"131"	"ENST00000263955"
"132"	"ENST00000264192"
"133"	"ENST00000264205"
"134"	"ENST00000264449"
"135"	"ENST00000264638"
"136"	"ENST00000264651"
"137"	"ENST00000264824"
"138"	"ENST00000264888"
"139"	"ENST00000264914"
"140"	"ENST00000264926"
"141"	"ENST00000265022"
"142"	"ENST00000265068"
"143"	"ENST00000265560"
"144"	"ENST00000265586"
"145"	"ENST00000266542"
"146"	"ENST00000266604"
"147"	"ENST00000266984"
"148"	"ENST00000267068"
"149"	"ENST00000267339"
"150"	"ENST00000267615"
"151"	"ENST00000267859"
"152"	"ENST00000267890"
"153"	"ENST00000267953"
"154"	"ENST00000268389"
"155"	"ENST00000268459"
"156"	"ENST00000268793"
"157"	"ENST00000269033"
"158"	"ENST00000269280"
"159"	"ENST00000269389"
"160"	"ENST00000270460"
"161"	"ENST00000270464"
"162"	"ENST00000272091"
"163"	"ENST00000272117"
"164"	"ENST00000272249"
"165"	"ENST00000273130"
"166"	"ENST00000273550"
"167"	"ENST00000274000"
"168"	"ENST00000274400"
"169"	"ENST00000274853"
"170"	"ENST00000274938"
"171"	"ENST00000275034"
"172"	"ENST00000276110"
"173"	"ENST00000276431"
"174"	"ENST00000278612"
"175"	"ENST00000279907"
"176"	"ENST00000280527"
"177"	"ENST00000280571"
"178"	"ENST00000281146"
"179"	"ENST00000282003"
"180"	"ENST00000282111"
"181"	"ENST00000282574"
"182"	"ENST00000282869"
"183"	"ENST00000283290"
"184"	"ENST00000283415"
"185"	"ENST00000284049"
"186"	"ENST00000285419"
"187"	"ENST00000285667"
"188"	"ENST00000285737"
"189"	"ENST00000286733"
"190"	"ENST00000287844"
"191"	"ENST00000289153"
"192"	"ENST00000289382"
"193"	"ENST00000289805"
"194"	"ENST00000289816"
"195"	"ENST00000290650"
"196"	"ENST00000290881"
"197"	"ENST00000291041"
