""	"x"
"1"	"ENST00000229633"
"2"	"ENST00000231461"
"3"	"ENST00000242351"
"4"	"ENST00000248668"
"5"	"ENST00000252242"
"6"	"ENST00000258301"
"7"	"ENST00000263579"
"8"	"ENST00000289382"
"9"	"ENST00000290650"
"10"	"ENST00000300060"
"11"	"ENST00000304658"
"12"	"ENST00000307637"
"13"	"ENST00000309951"
"14"	"ENST00000361227"
"15"	"ENST00000363688"
"16"	"ENST00000365668"
"17"	"ENST00000368748"
"18"	"ENST00000368756"
"19"	"ENST00000369038"
"20"	"ENST00000370397"
"21"	"ENST00000379010"
"22"	"ENST00000379303"
"23"	"ENST00000379433"
"24"	"ENST00000380871"
"25"	"ENST00000381842"
"26"	"ENST00000387347"
"27"	"ENST00000389262"
"28"	"ENST00000391754"
"29"	"ENST00000391761"
"30"	"ENST00000392619"
"31"	"ENST00000396077"
"32"	"ENST00000396978"
"33"	"ENST00000398146"
"34"	"ENST00000399799"
"35"	"ENST00000399808"
"36"	"ENST00000401529"
"37"	"ENST00000401827"
"38"	"ENST00000409817"
"39"	"ENST00000419542"
"40"	"ENST00000425534"
"41"	"ENST00000426077"
"42"	"ENST00000427908"
"43"	"ENST00000438005"
"44"	"ENST00000438382"
"45"	"ENST00000439501"
"46"	"ENST00000442435"
"47"	"ENST00000444115"
"48"	"ENST00000447012"
"49"	"ENST00000461454"
"50"	"ENST00000463108"
"51"	"ENST00000464569"
"52"	"ENST00000468249"
"53"	"ENST00000469963"
"54"	"ENST00000474381"
"55"	"ENST00000476284"
"56"	"ENST00000477801"
"57"	"ENST00000480825"
"58"	"ENST00000485551"
"59"	"ENST00000489551"
"60"	"ENST00000489652"
"61"	"ENST00000492630"
"62"	"ENST00000493143"
"63"	"ENST00000495827"
"64"	"ENST00000498007"
"65"	"ENST00000502532"
"66"	"ENST00000505635"
"67"	"ENST00000508794"
"68"	"ENST00000515010"
"69"	"ENST00000519504"
"70"	"ENST00000520106"
"71"	"ENST00000522002"
"72"	"ENST00000525750"
"73"	"ENST00000526007"
"74"	"ENST00000526980"
"75"	"ENST00000527160"
"76"	"ENST00000527741"
"77"	"ENST00000531912"
"78"	"ENST00000533190"
"79"	"ENST00000536621"
"80"	"ENST00000539154"
"81"	"ENST00000545075"
"82"	"ENST00000545968"
"83"	"ENST00000561175"
"84"	"ENST00000562408"
"85"	"ENST00000570798"
"86"	"ENST00000572950"
"87"	"ENST00000574703"
"88"	"ENST00000575231"
"89"	"ENST00000586020"
"90"	"ENST00000598234"
"91"	"ENST00000600213"
"92"	"ENST00000606034"
"93"	"ENST00000619149"
"94"	"ENST00000623664"
"95"	"ENST00000624864"
"96"	"ENST00000630918"
"97"	"ENST00000631211"
"98"	"ENST00000644817"
"99"	"ENST00000647020"
"100"	"ENST00000650098"
"101"	"ENST00000650933"
"102"	"ENST00000651323"
"103"	"ENST00000651385"
"104"	"ENST00000651641"
"105"	"ENST00000655086"
"106"	"ENST00000664551"
"107"	"ENST00000664890"
"108"	"ENST00000672116"
"109"	"ENST00000677722"
"110"	"ENST00000680209"
"111"	"ENST00000680576"
"112"	"ENST00000680586"
"113"	"ENST00000681448"
