""	"x"
"1"	21
"2"	29
"3"	35
"4"	49
"5"	68
"6"	100
"7"	101
"8"	106
"9"	159
"10"	238
"11"	271
"12"	280
"13"	295
"14"	300
"15"	307
"16"	327
"17"	331
"18"	362
"19"	376
"20"	384
"21"	386
"22"	406
"23"	436
"24"	467
"25"	476
"26"	483
"27"	485
"28"	493
"29"	515
"30"	517
"31"	520
"32"	526
"33"	537
"34"	541
"35"	574
"36"	576
"37"	582
"38"	632
"39"	642
"40"	687
"41"	719
"42"	740
"43"	873
"44"	877
"45"	887
"46"	917
"47"	936
"48"	994
"49"	1000
"50"	1106
"51"	1118
"52"	1165
"53"	1262
"54"	1279
"55"	1304
"56"	1324
"57"	1330
"58"	1372
"59"	1452
"60"	1480
"61"	1498
"62"	1605
"63"	1662
"64"	1700
"65"	1702
"66"	1744
"67"	1746
"68"	1761
"69"	1770
"70"	1795
"71"	1797
"72"	1811
"73"	1835
"74"	1890
"75"	1907
"76"	1914
"77"	1942
"78"	1993
"79"	2012
"80"	2046
"81"	2047
"82"	2127
"83"	2131
"84"	2141
"85"	2145
"86"	2166
"87"	2289
"88"	2303
"89"	2306
"90"	2342
"91"	2352
"92"	2357
"93"	2394
"94"	2395
"95"	2399
"96"	2438
"97"	2457
"98"	2490
"99"	2523
"100"	2533
"101"	2535
"102"	2556
"103"	2558
"104"	2594
"105"	2607
"106"	2642
"107"	2795
"108"	2833
"109"	2860
"110"	2862
"111"	2967
"112"	2971
"113"	2975
"114"	2989
"115"	3012
"116"	3046
"117"	3048
"118"	3056
"119"	3068
"120"	3103
"121"	3137
"122"	3155
"123"	3235
"124"	3247
"125"	3273
"126"	3320
"127"	3360
"128"	3379
"129"	3476
"130"	3510
"131"	3523
"132"	3554
"133"	3638
"134"	3781
"135"	3836
"136"	3885
"137"	3902
"138"	3948
"139"	4038
"140"	4057
"141"	4066
"142"	4083
"143"	4112
"144"	4121
"145"	4180
"146"	4190
"147"	4235
"148"	4246
"149"	4271
"150"	4321
"151"	4333
"152"	4345
"153"	4432
"154"	4453
"155"	4455
"156"	4464
"157"	4477
"158"	4486
"159"	4491
"160"	4538
"161"	4542
"162"	4560
"163"	4570
"164"	4635
"165"	4641
"166"	4645
"167"	4715
"168"	4734
"169"	4762
"170"	4765
"171"	4766
"172"	4860
"173"	4882
"174"	4884
"175"	4917
"176"	4944
"177"	4959
"178"	4987
"179"	5038
"180"	5076
"181"	5080
"182"	5173
"183"	5174
"184"	5209
"185"	5354
"186"	5420
"187"	5498
"188"	5517
"189"	5524
"190"	5529
"191"	5631
"192"	5644
"193"	5740
"194"	5749
"195"	5778
"196"	5807
"197"	5816
"198"	5819
"199"	5853
"200"	5928
"201"	5947
"202"	5950
"203"	5969
"204"	5973
"205"	5998
"206"	6074
"207"	6098
"208"	6105
"209"	6245
"210"	6271
"211"	6289
"212"	6291
"213"	6416
"214"	6428
"215"	6456
"216"	6476
"217"	6494
"218"	6502
"219"	6525
"220"	6528
"221"	6530
"222"	6534
"223"	6550
"224"	6644
"225"	6739
"226"	6794
"227"	6938
"228"	6996
"229"	6998
"230"	7123
"231"	7186
"232"	7214
"233"	7251
"234"	7345
"235"	7427
"236"	7446
"237"	7511
"238"	7596
"239"	7606
"240"	7607
"241"	7731
"242"	7821
"243"	7842
"244"	7859
"245"	7876
"246"	7953
"247"	7959
"248"	8078
"249"	8083
"250"	8146
"251"	8167
"252"	8198
"253"	8237
"254"	8339
"255"	8477
"256"	8485
"257"	8519
"258"	8523
"259"	8592
"260"	8607
"261"	8633
"262"	8701
"263"	8725
"264"	8797
"265"	8821
"266"	8896
"267"	9094
"268"	9237
"269"	9254
"270"	9303
"271"	9306
"272"	9325
"273"	9365
"274"	9378
"275"	9455
"276"	9471
"277"	9489
"278"	9493
"279"	9495
"280"	9571
"281"	9583
"282"	9634
"283"	9729
"284"	9772
"285"	9845
"286"	9865
"287"	9895
"288"	9907
"289"	10016
"290"	10155
"291"	10218
"292"	10230
"293"	10469
"294"	10480
"295"	10637
"296"	10652
"297"	10690
"298"	10696
"299"	10767
"300"	10816
"301"	10874
"302"	10902
"303"	10999
"304"	11000
"305"	11021
"306"	11058
"307"	11067
"308"	11095
"309"	11111
"310"	11113
"311"	11174
"312"	11238
"313"	11253
"314"	11285
"315"	11289
"316"	11304
"317"	11309
"318"	11349
"319"	11350
"320"	11373
"321"	11412
"322"	11433
"323"	11508
"324"	11511
"325"	11555
"326"	11570
"327"	11598
"328"	11665
"329"	11733
"330"	11778
"331"	11821
"332"	11838
"333"	11846
"334"	11919
"335"	11957
"336"	11982
"337"	12004
"338"	12058
"339"	12169
"340"	12173
"341"	12185
"342"	12197
"343"	12209
"344"	12215
"345"	12220
"346"	12262
"347"	12287
"348"	12289
"349"	12385
"350"	12403
"351"	12500
"352"	12528
"353"	12556
"354"	12569
"355"	12666
"356"	12785
"357"	12805
"358"	12831
"359"	12933
"360"	12942
"361"	12957
"362"	12966
"363"	12989
"364"	13044
"365"	13060
"366"	13093
"367"	13104
"368"	13141
"369"	13162
"370"	13180
"371"	13183
"372"	13189
"373"	13285
"374"	13350
"375"	13409
"376"	13583
"377"	13617
"378"	13662
"379"	13666
"380"	13812
"381"	13859
"382"	13864
"383"	13915
"384"	13939
"385"	13947
"386"	13977
"387"	14029
"388"	14062
"389"	14102
"390"	14110
"391"	14172
"392"	14204
"393"	14212
"394"	14214
"395"	14223
"396"	14270
"397"	14314
"398"	14332
"399"	14335
"400"	14374
"401"	14383
"402"	14390
"403"	14487
"404"	14515
"405"	14603
"406"	14611
"407"	14755
"408"	14772
"409"	14787
"410"	14788
"411"	14828
"412"	14837
"413"	14960
"414"	15003
"415"	15075
"416"	15087
"417"	15160
"418"	15161
"419"	15163
"420"	15166
"421"	15222
"422"	15314
"423"	15387
"424"	15429
"425"	15506
"426"	15512
"427"	15544
"428"	15616
"429"	15765
"430"	15828
"431"	15847
"432"	15868
"433"	15977
"434"	15991
"435"	16004
"436"	16015
"437"	16034
"438"	16062
"439"	16136
"440"	16169
"441"	16230
"442"	16295
"443"	16311
"444"	16341
"445"	16429
"446"	16454
"447"	16602
"448"	16624
"449"	16635
"450"	16689
"451"	16719
"452"	16786
"453"	16881
"454"	16964
"455"	17139
"456"	17170
"457"	17263
"458"	17335
"459"	17361
"460"	17455
"461"	17479
"462"	17485
"463"	17553
"464"	17634
"465"	17641
"466"	17663
"467"	17762
"468"	17858
"469"	17864
"470"	17912
"471"	17982
"472"	18001
"473"	18029
"474"	18043
"475"	18051
"476"	18064
"477"	18084
"478"	18108
"479"	18112
"480"	18117
"481"	18152
"482"	18178
"483"	18217
"484"	18264
"485"	18275
"486"	18329
"487"	18348
"488"	18371
"489"	18510
"490"	18587
"491"	18589
"492"	18608
"493"	18621
"494"	18639
"495"	18700
"496"	18725
"497"	18774
"498"	18790
"499"	18795
"500"	18857
"501"	18868
"502"	18899
"503"	18905
"504"	18907
"505"	18928
"506"	18953
"507"	19094
"508"	19099
"509"	19100
"510"	19142
"511"	19222
"512"	19301
"513"	19397
"514"	19429
"515"	19430
"516"	19473
"517"	19588
"518"	19667
"519"	19699
"520"	19714
"521"	19738
"522"	19741
"523"	19780
"524"	19817
"525"	19835
"526"	19840
"527"	19982
"528"	19995
"529"	20030
"530"	20307
"531"	20360
"532"	20499
"533"	20512
"534"	20514
"535"	20581
"536"	20632
"537"	20677
"538"	20690
"539"	20791
"540"	20842
"541"	20906
"542"	20963
"543"	21031
"544"	21050
"545"	21065
"546"	21117
"547"	21150
"548"	21151
"549"	21297
"550"	21351
"551"	21431
"552"	21487
"553"	21543
"554"	21548
"555"	21586
"556"	21587
"557"	21631
"558"	21680
"559"	21684
"560"	21805
"561"	21817
"562"	21841
"563"	21880
"564"	21897
"565"	22055
"566"	22071
"567"	22148
"568"	22258
"569"	22303
"570"	22362
"571"	22367
"572"	22444
"573"	22452
"574"	22466
"575"	22472
"576"	22482
"577"	22487
"578"	22498
"579"	22522
"580"	22525
"581"	22551
"582"	22591
"583"	22596
"584"	22695
"585"	22765
"586"	22785
"587"	22839
"588"	22843
"589"	22855
"590"	22861
"591"	22953
"592"	23010
"593"	23032
"594"	23051
"595"	23128
"596"	23152
"597"	23163
"598"	23259
"599"	23276
"600"	23317
"601"	23370
"602"	23371
"603"	23420
"604"	23426
"605"	23457
"606"	23482
"607"	23531
"608"	23629
"609"	23732
"610"	23812
"611"	23845
"612"	23938
"613"	23942
"614"	24190
"615"	24204
"616"	24207
"617"	24240
"618"	24313
"619"	24332
"620"	24354
"621"	24356
"622"	24476
"623"	24554
"624"	24564
"625"	24593
"626"	24757
"627"	24797
"628"	24815
"629"	24826
"630"	24853
"631"	24896
"632"	25025
"633"	25043
"634"	25058
"635"	25229
"636"	25234
"637"	25386
"638"	25485
"639"	25538
"640"	25593
"641"	25610
"642"	25614
"643"	25656
"644"	25701
"645"	25702
"646"	25773
"647"	25789
"648"	25798
"649"	25820
"650"	25854
"651"	25886
"652"	25911
"653"	25936
"654"	25961
"655"	25998
"656"	26019
"657"	26089
"658"	26135
"659"	26246
"660"	26260
"661"	26275
"662"	26281
"663"	26309
"664"	26321
"665"	26328
