""	"x"
"1"	223
"2"	362
"3"	397
"4"	614
"5"	875
"6"	1611
"7"	1706
"8"	1858
"9"	1936
"10"	2004
"11"	2112
"12"	2906
"13"	3089
"14"	3622
"15"	4167
"16"	4266
"17"	4320
"18"	4366
"19"	4375
"20"	4388
"21"	4397
"22"	4400
"23"	4406
"24"	4426
"25"	4434
"26"	4451
"27"	4453
"28"	4455
"29"	4464
"30"	4468
"31"	4469
"32"	4470
"33"	4477
"34"	4482
"35"	4544
"36"	4820
"37"	5894
"38"	6245
"39"	6352
"40"	6371
"41"	6476
"42"	6608
"43"	6986
"44"	7467
"45"	7703
"46"	8636
"47"	8644
"48"	8846
"49"	8918
"50"	8948
"51"	9378
"52"	9388
"53"	10026
"54"	10139
"55"	10655
"56"	10781
"57"	12306
"58"	12346
"59"	12949
"60"	13238
"61"	15561
"62"	16377
"63"	16691
"64"	16708
"65"	16842
"66"	17440
"67"	17695
"68"	19088
"69"	19094
"70"	19615
"71"	20069
"72"	20784
"73"	21825
"74"	22935
"75"	22942
"76"	23276
"77"	24424
"78"	24650
"79"	25179
"80"	25507
"81"	25760
"82"	25922
"83"	25961
"84"	26376
"85"	26563
"86"	26584
"87"	26714
"88"	26807
"89"	26888
"90"	27058
"91"	27067
"92"	27352
"93"	27420
"94"	27509
"95"	27854
"96"	27925
"97"	28182
"98"	28308
"99"	28355
"100"	28413
"101"	28573
"102"	28634
"103"	28660
"104"	28803
"105"	28965
"106"	29075
"107"	29102
"108"	29159
"109"	29386
"110"	30016
"111"	30667
"112"	30750
"113"	30856
"114"	30865
"115"	30929
