""	"x"
"1"	9
"2"	17
"3"	21
"4"	29
"5"	35
"6"	38
"7"	43
"8"	45
"9"	47
"10"	49
"11"	68
"12"	90
"13"	100
"14"	101
"15"	106
"16"	110
"17"	135
"18"	146
"19"	157
"20"	159
"21"	168
"22"	181
"23"	212
"24"	215
"25"	226
"26"	238
"27"	244
"28"	245
"29"	248
"30"	259
"31"	265
"32"	269
"33"	270
"34"	271
"35"	273
"36"	295
"37"	299
"38"	300
"39"	307
"40"	312
"41"	314
"42"	317
"43"	319
"44"	327
"45"	331
"46"	340
"47"	341
"48"	348
"49"	368
"50"	376
"51"	377
"52"	380
"53"	382
"54"	384
"55"	385
"56"	386
"57"	388
"58"	399
"59"	406
"60"	434
"61"	436
"62"	447
"63"	460
"64"	467
"65"	469
"66"	476
"67"	483
"68"	485
"69"	493
"70"	497
"71"	508
"72"	515
"73"	517
"74"	520
"75"	525
"76"	526
"77"	536
"78"	537
"79"	539
"80"	541
"81"	574
"82"	576
"83"	582
"84"	586
"85"	632
"86"	640
"87"	687
"88"	694
"89"	698
"90"	719
"91"	720
"92"	731
"93"	734
"94"	740
"95"	757
"96"	762
"97"	768
"98"	770
"99"	774
"100"	776
"101"	791
"102"	803
"103"	806
"104"	808
"105"	813
"106"	829
"107"	832
"108"	834
"109"	871
"110"	873
"111"	877
"112"	887
"113"	894
"114"	904
"115"	917
"116"	930
"117"	950
"118"	955
"119"	963
"120"	970
"121"	981
"122"	985
"123"	994
"124"	1000
"125"	1050
"126"	1061
"127"	1079
"128"	1083
"129"	1087
"130"	1100
"131"	1106
"132"	1118
"133"	1122
"134"	1141
"135"	1150
"136"	1151
"137"	1165
"138"	1170
"139"	1172
"140"	1173
"141"	1181
"142"	1185
"143"	1213
"144"	1215
"145"	1249
"146"	1252
"147"	1259
"148"	1262
"149"	1274
"150"	1279
"151"	1284
"152"	1288
"153"	1290
"154"	1304
"155"	1305
"156"	1313
"157"	1317
"158"	1324
"159"	1330
"160"	1350
"161"	1351
"162"	1372
"163"	1374
"164"	1383
"165"	1398
"166"	1404
"167"	1412
"168"	1421
"169"	1433
"170"	1434
"171"	1436
"172"	1447
"173"	1452
"174"	1480
"175"	1498
"176"	1502
"177"	1506
"178"	1520
"179"	1539
"180"	1544
"181"	1550
"182"	1552
"183"	1557
"184"	1561
"185"	1573
"186"	1605
"187"	1606
"188"	1608
"189"	1622
"190"	1641
"191"	1655
"192"	1662
"193"	1667
"194"	1668
"195"	1690
"196"	1696
"197"	1699
"198"	1700
"199"	1702
"200"	1726
"201"	1744
"202"	1746
"203"	1761
"204"	1767
"205"	1770
"206"	1778
"207"	1783
"208"	1787
"209"	1795
"210"	1796
"211"	1797
"212"	1806
"213"	1807
"214"	1808
"215"	1811
"216"	1817
"217"	1820
"218"	1822
"219"	1831
"220"	1835
"221"	1844
"222"	1848
"223"	1869
"224"	1890
"225"	1903
"226"	1904
"227"	1905
"228"	1907
"229"	1914
"230"	1923
"231"	1926
"232"	1942
"233"	1943
"234"	1960
"235"	1967
"236"	1975
"237"	1993
"238"	1999
"239"	2012
"240"	2038
"241"	2044
"242"	2046
"243"	2047
"244"	2080
"245"	2081
"246"	2107
"247"	2127
"248"	2129
"249"	2131
"250"	2138
"251"	2139
"252"	2141
"253"	2145
"254"	2157
"255"	2171
"256"	2172
"257"	2186
"258"	2193
"259"	2199
"260"	2202
"261"	2218
"262"	2239
"263"	2247
"264"	2262
"265"	2266
"266"	2276
"267"	2288
"268"	2289
"269"	2299
"270"	2303
"271"	2306
"272"	2323
"273"	2342
"274"	2352
"275"	2357
"276"	2368
"277"	2374
"278"	2385
"279"	2394
"280"	2395
"281"	2397
"282"	2399
"283"	2404
"284"	2409
"285"	2434
"286"	2438
"287"	2450
"288"	2457
"289"	2460
"290"	2464
"291"	2470
"292"	2490
"293"	2501
"294"	2522
"295"	2523
"296"	2532
"297"	2533
"298"	2535
"299"	2538
"300"	2558
"301"	2563
"302"	2565
"303"	2568
"304"	2577
"305"	2594
"306"	2595
"307"	2601
"308"	2607
"309"	2613
"310"	2634
"311"	2651
"312"	2665
"313"	2675
"314"	2692
"315"	2696
"316"	2710
"317"	2718
"318"	2719
"319"	2720
"320"	2722
"321"	2742
"322"	2771
"323"	2795
"324"	2828
"325"	2833
"326"	2834
"327"	2839
"328"	2860
"329"	2862
"330"	2867
"331"	2888
"332"	2889
"333"	2893
"334"	2901
"335"	2920
"336"	2923
"337"	2937
"338"	2939
"339"	2948
"340"	2956
"341"	2967
"342"	2971
"343"	2972
"344"	2975
"345"	2979
"346"	2980
"347"	2989
"348"	2996
"349"	2997
"350"	3012
"351"	3045
"352"	3046
"353"	3048
"354"	3056
"355"	3065
"356"	3080
"357"	3086
"358"	3089
"359"	3095
"360"	3098
"361"	3110
"362"	3113
"363"	3115
"364"	3137
"365"	3139
"366"	3152
"367"	3153
"368"	3155
"369"	3156
"370"	3159
"371"	3162
"372"	3173
"373"	3184
"374"	3199
"375"	3208
"376"	3232
"377"	3235
"378"	3246
"379"	3247
"380"	3264
"381"	3273
"382"	3280
"383"	3295
"384"	3306
"385"	3314
"386"	3318
"387"	3320
"388"	3350
"389"	3358
"390"	3372
"391"	3379
"392"	3452
"393"	3460
"394"	3461
"395"	3471
"396"	3476
"397"	3510
"398"	3511
"399"	3518
"400"	3523
"401"	3537
"402"	3548
"403"	3554
"404"	3612
"405"	3617
"406"	3621
"407"	3636
"408"	3638
"409"	3677
"410"	3705
"411"	3708
"412"	3739
"413"	3772
"414"	3781
"415"	3802
"416"	3809
"417"	3829
"418"	3836
"419"	3837
"420"	3844
"421"	3875
"422"	3889
"423"	3895
"424"	3902
"425"	3915
"426"	3935
"427"	3948
"428"	4023
"429"	4028
"430"	4029
"431"	4036
"432"	4038
"433"	4057
"434"	4066
"435"	4083
"436"	4086
"437"	4088
"438"	4109
"439"	4112
"440"	4118
"441"	4121
"442"	4122
"443"	4133
"444"	4135
"445"	4145
"446"	4149
"447"	4157
"448"	4160
"449"	4162
"450"	4190
"451"	4198
"452"	4202
"453"	4205
"454"	4208
"455"	4216
"456"	4235
"457"	4242
"458"	4243
"459"	4246
"460"	4247
"461"	4259
"462"	4267
"463"	4271
"464"	4294
"465"	4321
"466"	4333
"467"	4334
"468"	4345
"469"	4351
"470"	4353
"471"	4381
"472"	4388
"473"	4390
"474"	4420
"475"	4432
"476"	4486
"477"	4491
"478"	4494
"479"	4497
"480"	4509
"481"	4510
"482"	4516
"483"	4525
"484"	4527
"485"	4538
"486"	4542
"487"	4558
"488"	4560
"489"	4563
"490"	4570
"491"	4635
"492"	4637
"493"	4638
"494"	4641
"495"	4643
"496"	4645
"497"	4650
"498"	4668
"499"	4673
"500"	4678
"501"	4684
"502"	4688
"503"	4699
"504"	4700
"505"	4705
"506"	4714
"507"	4715
"508"	4725
"509"	4734
"510"	4762
"511"	4765
"512"	4766
"513"	4768
"514"	4789
"515"	4816
"516"	4846
"517"	4851
"518"	4854
"519"	4859
"520"	4860
"521"	4863
"522"	4881
"523"	4882
"524"	4884
"525"	4891
"526"	4903
"527"	4905
"528"	4909
"529"	4910
"530"	4917
"531"	4944
"532"	4959
"533"	4987
"534"	4988
"535"	4993
"536"	4999
"537"	5007
"538"	5038
"539"	5048
"540"	5064
"541"	5076
"542"	5080
"543"	5089
"544"	5160
"545"	5162
"546"	5164
"547"	5166
"548"	5173
"549"	5174
"550"	5181
"551"	5184
"552"	5209
"553"	5220
"554"	5223
"555"	5252
"556"	5281
"557"	5291
"558"	5292
"559"	5310
"560"	5311
"561"	5354
"562"	5370
"563"	5374
"564"	5408
"565"	5420
"566"	5429
"567"	5445
"568"	5468
"569"	5469
"570"	5478
"571"	5498
"572"	5506
"573"	5517
"574"	5520
"575"	5524
"576"	5563
"577"	5568
"578"	5573
"579"	5581
"580"	5599
"581"	5603
"582"	5631
"583"	5644
"584"	5652
"585"	5660
"586"	5661
"587"	5664
"588"	5669
"589"	5688
"590"	5699
"591"	5720
"592"	5734
"593"	5735
"594"	5740
"595"	5753
"596"	5762
"597"	5763
"598"	5778
"599"	5787
"600"	5799
"601"	5800
"602"	5810
"603"	5816
"604"	5818
"605"	5819
"606"	5820
"607"	5835
"608"	5848
"609"	5853
"610"	5862
"611"	5871
"612"	5890
"613"	5891
"614"	5893
"615"	5928
"616"	5930
"617"	5941
"618"	5942
"619"	5946
"620"	5947
"621"	5950
"622"	5954
"623"	5955
"624"	5962
"625"	5963
"626"	5972
"627"	5973
"628"	5985
"629"	5988
"630"	5994
"631"	5997
"632"	5998
"633"	6000
"634"	6031
"635"	6041
"636"	6068
"637"	6074
"638"	6080
"639"	6091
"640"	6098
"641"	6099
"642"	6101
"643"	6105
"644"	6120
"645"	6122
"646"	6125
"647"	6130
"648"	6134
"649"	6142
"650"	6156
"651"	6157
"652"	6170
"653"	6176
"654"	6200
"655"	6203
"656"	6230
"657"	6271
"658"	6273
"659"	6275
"660"	6281
"661"	6291
"662"	6309
"663"	6318
"664"	6329
"665"	6331
"666"	6389
"667"	6397
"668"	6416
"669"	6427
"670"	6428
"671"	6456
"672"	6466
"673"	6471
"674"	6494
"675"	6502
"676"	6515
"677"	6517
"678"	6520
"679"	6525
"680"	6528
"681"	6530
"682"	6532
"683"	6534
"684"	6550
"685"	6578
"686"	6583
"687"	6615
"688"	6640
"689"	6641
"690"	6645
"691"	6646
"692"	6659
