""	"x"
"1"	362
"2"	376
"3"	485
"4"	576
"5"	641
"6"	806
"7"	1079
"8"	1662
"9"	1690
"10"	1967
"11"	2141
"12"	2239
"13"	2342
"14"	4353
"15"	4464
"16"	4482
"17"	4816
"18"	4820
"19"	4859
"20"	5007
"21"	5894
"22"	5928
"23"	5947
"24"	6068
"25"	6139
"26"	6245
"27"	6273
"28"	6329
"29"	6331
"30"	6427
"31"	6794
"32"	6876
"33"	6998
"34"	7123
"35"	7124
"36"	7186
"37"	7194
"38"	7597
"39"	8206
"40"	8633
"41"	8668
"42"	8797
"43"	9467
"44"	9493
"45"	9552
"46"	9729
"47"	9830
"48"	10016
"49"	11021
"50"	11217
"51"	11412
"52"	11838
"53"	12035
"54"	12556
"55"	12785
"56"	12966
"57"	13350
"58"	13915
"59"	14374
"60"	14383
"61"	14755
"62"	14828
"63"	15163
"64"	15429
"65"	15633
"66"	15947
"67"	16228
"68"	16812
"69"	17170
"70"	17245
"71"	17479
"72"	17912
"73"	17937
"74"	18051
"75"	18084
"76"	18152
"77"	18621
"78"	18774
"79"	19088
"80"	19301
"81"	19741
"82"	19817
"83"	21548
"84"	21667
"85"	22482
"86"	22666
"87"	22802
"88"	22855
"89"	23732
"90"	25058
"91"	25179
"92"	25570
"93"	26385
"94"	26714
"95"	26870
"96"	27058
"97"	27067
"98"	27683
"99"	27854
"100"	28182
"101"	28268
"102"	28309
"103"	28316
"104"	28337
"105"	28551
"106"	28894
"107"	28901
"108"	29144
"109"	29624
"110"	29886
"111"	29929
"112"	29931
"113"	30064
